set=
Жесткий диск Samsung ST1000LM024 на 1000 гб,600 грн.,Березне,https://www.olx.ua/uk/obyavlenie/zhestkiy-disk-samsung-st1000lm024-na-1000-gb-IDKY1eD.html?sd=1#544e9f6188
Ноутбук Asus P53E,12 000 грн.,"Львів, Галицький",https://www.olx.ua/uk/obyavlenie/noutbuk-asus-p53e-IDKFkHa.html?sd=1#544e9f6188;promoted
Мышь Беспроводная Bluetooth 4.0+ 2.4Ghz двухрежимная беззвучная,500 грн.,Фастів,https://www.olx.ua/uk/obyavlenie/mysh-besprovodnaya-bluetooth-4-0-2-4ghz-dvuhrezhimnaya-bezzvuchnaya-IDKY1c8.html?sd=1#544e9f6188
Продам Fujitsu Siemens Lifebook e-6540,799 грн.,Рівне,https://www.olx.ua/uk/obyavlenie/prodam-fujitsu-siemens-lifebook-e-6540-IDHmxOS.html?sd=1#544e9f6188
Оперативная память для ноутбука SoDIMM DDR4 4GB 2400 MHz Patriot,320 грн.,Звенигородка,https://www.olx.ua/uk/obyavlenie/operativnaya-pamyat-dlya-noutbuka-sodimm-ddr4-4gb-2400-mhz-patriot-IDKcRWW.html?sd=1#544e9f6188
"Мышка КПК,ноутбука",100 грн.,"Кропивницький, Фортечний",https://www.olx.ua/uk/obyavlenie/myshka-kpk-noutbuka-IDJ86s5.html?sd=1#544e9f6188
Lenovo g505s,7 500 грн.,Нова Каховка,https://www.olx.ua/uk/obyavlenie/lenovo-g505s-IDATBYM.html?sd=1#544e9f6188
Универсальный блок питания Trust Netbook charger 65W,439 грн.,Гайсин,https://www.olx.ua/uk/obyavlenie/universalnyy-blok-pitaniya-trust-netbook-charger-65w-IDKY15k.html?sd=1#544e9f6188;promoted
"DDR 3 4gb 1.35вольт 12800, 1600, so-dimm, обмен",500 грн.,Мелітополь,https://www.olx.ua/uk/obyavlenie/ddr-3-4gb-1-35volt-12800-1600-so-dimm-obmen-IDKQJX1.html?sd=1#544e9f6188;promoted
Кнопка включения для ноутбука Asus x551,150 грн.,Лозова,https://www.olx.ua/uk/obyavlenie/knopka-vklyucheniya-dlya-noutbuka-asus-x551-IDCSPfF.html#544e9f6188
"LENOVO 100-15IBY Intel CeleronN2840(2,58Ггц)/RAM 4GB/HHD 500GB/АКБ 4ч.",4 800 грн.,Слов'янськ,https://www.olx.ua/uk/obyavlenie/lenovo-100-15iby-intel-celeronn28402-58ggts-ram-4gb-hhd-500gb-akb-4ch-IDK5ZM4.html?sd=1#544e9f6188;promoted
Ноутбук НР Laptop,9 300 грн.,Рівне,https://www.olx.ua/uk/obyavlenie/noutbuk-nr-laptop-IDKCV2q.html?sd=1#544e9f6188
Нетбук Asus 1001pxd,1 900 грн.,Умань,https://www.olx.ua/uk/obyavlenie/netbuk-asus-1001pxd-IDKnVDv.html?sd=1#544e9f6188;promoted
"ОЗУ для ноутбука 4ГБ, оперативная память so-dimm DDR3",325 грн.,"Харків, Індустріальний",https://www.olx.ua/uk/obyavlenie/ozu-dlya-noutbuka-4gb-operativnaya-pamyat-so-dimm-ddr3-IDKY13O.html?sd=1#544e9f6188
MacBook 12 retina display 256gb,14 000 грн.,"Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/macbook-12-retina-display-256gb-IDKUnbR.html?sd=1#544e9f6188;promoted
Ноутбук ASUS F3S,1 850 грн.,Ужгород,https://www.olx.ua/uk/obyavlenie/noutbuk-asus-f3s-IDKmAVz.html?sd=1#544e9f6188
Ноутбук 17.3 msi cx702qf,11 800 грн.,"Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/noutbuk-17-3-msi-cx702qf-IDKVMzT.html?sd=1#544e9f6188;promoted
"Защитная пленка для ноутбука 15.6""",55 грн.,Лозова,https://www.olx.ua/uk/obyavlenie/zaschitnaya-plenka-dlya-noutbuka-15-6-IDK2ZBl.html?sd=1#544e9f6188
Сумка для ноутбука,200 грн.,Софіївська Борщагівка,https://www.olx.ua/uk/obyavlenie/sumka-dlya-noutbuka-IDHyjhM.html?sd=1#544e9f6188
Наклейки на клавиатуру КАЧЕСТВО Made in UKRAINE Бесплатная ДОСТАВКА,10.99 грн.,Рівне,https://www.olx.ua/uk/obyavlenie/nakleyki-na-klaviaturu-kachestvo-made-in-ukraine-besplatnaya-dostavka-IDnamS2.html#544e9f6188;promoted
"Lenovo Z585 A6-4400M,2.7-3,2 ГГц,ОЗУ 6 ГБ/2видеокарты/SSD 240GB/АКБ 3ч",8 750 грн.,Слов'янськ,https://www.olx.ua/uk/obyavlenie/lenovo-z585a6-4400m-2-7-3-2ggts-ozu-6gb-2videokarty-ssd-240gb-akb-3ch-IDKDN1N.html?sd=1#544e9f6188;promoted
Материнська плата,1 200 грн.,Грушово,https://www.olx.ua/uk/obyavlenie/materinska-plata-IDKY11X.html?sd=1#544e9f6188
Ноутбук Lenovo s10 на разборку,100 грн.,"Вінниця, Замостянський",https://www.olx.ua/uk/obyavlenie/noutbuk-lenovo-s10-na-razborku-IDKmohg.html?sd=1#544e9f6188
Ноутбук ASUS,6 199 грн.,Черкаси,https://www.olx.ua/uk/obyavlenie/noutbuk-asus-IDKlPGa.html?sd=1#544e9f6188
Аккумулятор для ноутбука SAMSUNG N150,699 грн.,Бровари,https://www.olx.ua/uk/obyavlenie/akkumulyator-dlya-noutbuka-samsung-n150-IDI0efe.html?sd=1#544e9f6188
Ноутбук FUJITSU AH530 / intel Core i3/ 4 Gb./SSD 180 Gb,4 400 грн.,Обухів,https://www.olx.ua/uk/obyavlenie/noutbuk-fujitsu-ah530-intel-core-i3-4-gb-ssd-180-gb-IDKn0a8.html#544e9f6188
"Asus VivoBook Pro 17,3""",22 000 грн.,Нікополь,https://www.olx.ua/uk/obyavlenie/asus-vivobook-pro-17-3-IDKY0X1.html?sd=1#544e9f6188
Продам/обменяю ноутбук APPLE MACBOOK AIR 11 MID 2012,7 500 грн.,Суми,https://www.olx.ua/uk/obyavlenie/prodam-obmenyayu-noutbuk-apple-macbook-air-11-mid-2012-IDKKqVY.html?sd=1#544e9f6188;promoted
"Блок живлення для Asus 19V, 4,74 (90Вт) штекер 5.5*2.5мм",240 грн.,"Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/blok-zhivlennya-dlya-asus-19v-4-74-90vt-shteker-5-52-5mm-IDGVdlH.html#544e9f6188
Ноутбук aser (тріщина на екрані),2 000 грн.,Тульчин,https://www.olx.ua/uk/obyavlenie/noutbuk-aser-trschina-na-ekran-IDKFixH.html?sd=1#544e9f6188
Запчасти к ноутбуку HP g6-1325sr,322 грн.,Козелець,https://www.olx.ua/uk/obyavlenie/zapchasti-k-noutbuku-hp-g6-1325sr-IDKY0Wh.html?sd=1#544e9f6188
Сумка для ноутбука,350 грн.,"Запоріжжя, Заводський",https://www.olx.ua/uk/obyavlenie/sumka-dlya-noutbuka-IDKEr9w.html?sd=1#544e9f6188
Продам,1 000 грн.,"Кропивницький, Фортечний",https://www.olx.ua/uk/obyavlenie/prodam-IDIhAJS.html?sd=1#544e9f6188
Продам ноутбук asus,2 100 грн.,Горохів,https://www.olx.ua/uk/obyavlenie/prodam-noutbuk-asus-IDKY0Mg.html?sd=1#544e9f6188
Наклейки для компьютеров/ноутбуков,17 грн.,"Харків, Московський",https://www.olx.ua/uk/obyavlenie/nakleyki-dlya-kompyuterov-noutbukov-IDiBcRG.html#544e9f6188
MacBook Pro 2016 256GB Touch Bar,27 685 грн.,Тернопіль,https://www.olx.ua/uk/obyavlenie/macbook-pro-2016-256gb-touch-bar-IDKVMrk.html#544e9f6188;promoted
